mmsi,turnrate,shipLength,heading,course,lon,shipWidth,speed,lat,postime,callsign,cargo_type,destination,imo,ship_status,ship_name
413794195,0.0,0.0,0.0,0.0,118.24025166666668,0.0,0.0,31.282083333333333,20241022151419,,,,,,
413774879,0.0,110.0,511.0,79.8,118.22414,19.0,7.1,31.296085,20241022151411,456789,货轮,,,,
413860116,0.0,68.0,511.0,0.0,118.28092333333332,14.0,0.0,31.29620333333333,20241022151517,,货轮,,,,
412703950,0.0,96.0,259.0,331.1,118.20848,15.0,0.3,31.2849,20241022151516,,油轮,WU HU,0.0,1.0,HUACHEN103
413355690,0.0,98.0,511.0,0.0,118.20031333333333,16.0,0.0,31.270745,20241022151435,BOHW3,货轮,DI GANG,0.0,5.0,HUA YUAN 16
413833978,0.0,0.0,511.0,93.6,118.19409166666668,0.0,0.0,31.274755,20241022151516,,,,,,
413382170,0.0,121.0,268.0,209.5,118.21409833333334,20.0,0.0,31.276276666666668,20241022151504,BUUR,货轮,WUHU,0.0,5.0,CHANG XIANG HAI
412379440,0.0,116.0,511.0,177.9,118.208345,18.0,0.0,31.273903333333333,20241022151429,BUYK,货轮,WU HU,0.0,5.0,JIANG XIA YUAN
413777816,0.0,109.0,511.0,233.3,118.12487333333333,19.0,5.5,31.239086666666665,20241022151510,,货轮,JIUJIANG,0.0,,
413775609,0.0,0.0,247.0,247.1,118.19613833333334,0.0,3.2,31.289058333333333,20241022151513,,未知,,,,SHENG LONG 88
413802667,0.0,0.0,511.0,360.0,118.1815,0.0,4.9,31.281078333333333,20241022151458,,未知,,,1.0,XINYI5658
413826877,0.0,0.0,0.0,0.0,118.26469,0.0,0.0,31.292136666666668,20241022151501,,,,,,
413824318,0.0,76.0,0.0,0.0,118.26687833333334,13.0,0.0,31.29397,20241022151506,TSTAISB,货轮,,,,
413802101,0.0,0.0,60.0,77.7,118.26701666666666,0.0,0.0,31.29375333333333,20241022151404,,,,,,
413769998,0.0,64.0,511.0,273.9,118.28334,12.0,5.3,31.307793333333333,20241022151506,,货轮,,,,
413991901,0.0,0.0,0.0,83.0,118.26958666666668,0.0,4.0,31.3016,20241022151412,,未知,,,0.0,MINGSHENG181
413844216,0.0,0.0,511.0,261.5,118.26957333333333,0.0,4.6,31.306283333333333,20241022151447,,未知,,,,SHUNTAI001
413857084,0.0,0.0,511.0,266.4,118.27714666666668,0.0,5.7,31.30673,20241022151505,,未知,,,,YUAN YANG 0888
413860902,0.0,108.0,12.0,261.7,118.26944,19.0,4.1,31.30642,20241022151440,0,货轮,SHANGHAI,0.0,0.0,WAN HAI ZHI XING
413792491,0.0,0.0,511.0,86.0,118.27764,0.0,4.1,31.30265333333333,20241022151437,,,,,,
413858436,0.0,0.0,511.0,360.0,118.29682333333334,0.0,3.6,31.41851833333333,20241022151500,,未知,,,0.0,YU ZHOU KOU JI 988
413792701,0.0,59.0,511.0,61.6,118.29156,12.0,0.0,31.39956,20241022151410,,油轮,,,,
413874345,0.0,0.0,511.0,192.3,118.295,0.0,0.0,31.408113333333333,20241022151505,,未知,,,1.0,MINGLIANG1688
413808414,0.0,0.0,0.0,25.4,118.29507166666669,0.0,0.0,31.41465833333333,20241022151503,,未知,,,,WANCHAOHANG999
413973356,0.0,48.0,511.0,96.2,118.29480333333332,9.0,1.3,31.412541666666662,20241022151501,,货轮,,0.0,,LEI DA 035
413814281,0.0,67.0,511.0,185.8,118.29562666666666,13.0,0.0,31.40924,20241022151445,0,货轮,HUAIAN,0.0,,ZHOUHAI9866
413772627,0.0,0.0,50.0,3.1,118.29246666666668,0.0,0.0,31.40209,20241022151507,,未知,,,,WANHENGYUAN9918
413835296,0.0,72.0,73.0,73.6,118.29484,13.0,0.0,31.40756333333333,20241022151451,0000000,货轮,HEFEI,0.0,5.0,JINHANG999
413874805,0.0,0.0,511.0,279.2,118.30396333333331,0.0,3.9,31.30583333333333,20241022151445,,未知,,,,SHUN GANG CHANG XIN
413779254,0.0,78.0,511.0,359.0,118.30268,14.0,0.0,31.30703,20241022151502,,货轮,,,,
413976765,0.0,0.0,287.0,287.5,118.30299666666669,0.0,4.7,31.306316666666667,20241022151501,,未知,,,,YUANDONG1668
413830192,0.0,99.0,511.0,267.1,118.3026,19.0,5.0,31.30353333333333,20241022151403,,货轮,WUHUAO-BINJIANG,0.0,,HONG JIE 88RP
413826806,0.0,0.0,511.0,100.4,118.30455,0.0,4.6,31.3015,20241022151502,,未知,,,,XINAN9698
413827685,0.0,0.0,511.0,288.9,118.30480833333333,0.0,3.9,31.305901666666667,20241022151431,,未知,,,,YUXINHUO12005
413840184,0.0,68.0,95.0,95.9,118.29979333333333,14.0,5.9,31.302343333333333,20241022151511,899,货轮,8,0.0,0.0,ZHENHANGJI899
413775429,0.0,105.0,511.0,98.5,118.29814,18.0,4.5,31.302526666666665,20241022151504,,货轮,ZHANGSHA,0.0,0.0,YUXINHUO10867
413835641,0.0,95.0,511.0,276.3,118.29713333333332,16.0,5.3,31.306176666666666,20241022151514,,油轮,,,,
413859814,0.0,62.0,511.0,281.2,118.30162666666666,12.0,5.9,31.3066,20241022151515,,货轮,,0.0,,TONGHAI9
413766239,0.0,0.0,511.0,136.4,118.30522666666668,0.0,0.1,31.473076666666667,20241022151515,,未知,,,,NINGSHUANGPENG628
413828368,0.0,0.0,511.0,310.9,118.3052,0.0,0.1,31.47211,20241022151515,,未知,,,,HUAHANGXINLONG
413833232,0.0,0.0,511.0,114.9,118.30511666666666,0.0,0.0,31.47075,20241022151421,,未知,,,,FANGXING777
413849844,0.0,73.0,290.0,290.9,118.21357833333332,13.0,5.5,31.38930833333333,20241022151512,0,货轮,,,0.0,
413807143,0.0,0.0,288.0,288.5,118.26076166666668,0.0,4.7,31.378435,20241022151507,,,,,,
413849483,0.0,67.0,511.0,220.1,118.27637333333334,11.0,5.3,31.3757,20241022151507,,货轮,HUANGSHI,0.0,,WAN CHANG FA 3398
413997738,0.0,0.0,288.0,288.1,118.25888,0.0,3.8,31.379231666666666,20241022151402,,未知,,,,SUYANCHENGHUO058999 
